run_id,dataset,build,loader,layout,chunking,method,post,n,k,hit@k,mrr,seconds,qps,n_chunks
20260416_045857,manual,pypdf_fields,pypdf,False,fields,dense,none,5,5,0.0,0.0,0.00024526380002498627,20386.21272071388,381
20260416_045857,manual,pypdf_fields,pypdf,False,fields,dense,service,5,5,0.0,0.0,0.0001836884766817093,27219.99817475689,381
20260416_045857,manual,pypdf_fields,pypdf,False,fields,dense,service_field,5,5,0.0,0.0,0.00014628376811742783,34180.142228673656,381
20260416_045857,manual,pypdf_fields,pypdf,False,fields,sparse,none,5,5,0.0,0.0,0.00018321163952350616,27290.842508717888,381
20260416_045857,manual,pypdf_fields,pypdf,False,fields,sparse,service,5,5,0.0,0.0,0.00016963202506303787,29475.56629204847,381
20260416_045857,manual,pypdf_fields,pypdf,False,fields,sparse,service_field,5,5,0.0,0.0,0.00014903303235769272,33549.60924367122,381
20260416_045857,manual,pypdf_fields,pypdf,False,fields,hybrid,none,5,5,0.0,0.0,0.0002056090161204338,24317.999737284335,381
20260416_045857,manual,pypdf_fields,pypdf,False,fields,hybrid,service,5,5,0.0,0.0,0.00022899452596902847,21834.583070672397,381
20260416_045857,manual,pypdf_fields,pypdf,False,fields,hybrid,service_field,5,5,0.0,0.0,0.0002130270004272461,23471.203133743704,381
20260416_045857,auto,pypdf_fields,pypdf,False,fields,dense,none,120,5,0.0,0.0,0.004533967934548855,26466.883253760905,381
20260416_045857,auto,pypdf_fields,pypdf,False,fields,dense,service,120,5,0.0,0.0,0.0031706728041172028,37846.8569333855,381
20260416_045857,auto,pypdf_fields,pypdf,False,fields,dense,service_field,120,5,0.0,0.0,0.003425505943596363,35031.32149699751,381
20260416_045857,auto,pypdf_fields,pypdf,False,fields,sparse,none,120,5,0.0,0.0,0.004505977034568787,26631.294185342816,381
20260416_045857,auto,pypdf_fields,pypdf,False,fields,sparse,service,120,5,0.0,0.0,0.003160211257636547,37972.14496658219,381
20260416_045857,auto,pypdf_fields,pypdf,False,fields,sparse,service_field,120,5,0.0,0.0,0.003414612263441086,35143.08235953843,381
20260416_045857,auto,pypdf_fields,pypdf,False,fields,hybrid,none,120,5,0.0,0.0,0.004369079135358334,27465.741929199023,381
20260416_045857,auto,pypdf_fields,pypdf,False,fields,hybrid,service,120,5,0.0,0.0,0.0041313571855425835,29046.145034356316,381
20260416_045857,auto,pypdf_fields,pypdf,False,fields,hybrid,service_field,120,5,0.0,0.0,0.004459837451577187,26906.810237571088,381
20260416_045857,manual,pypdf_fixed,pypdf,False,fixed,dense,none,5,5,0.0,0.0,0.00026966724544763565,18541.36935207026,301
20260416_045857,manual,pypdf_fixed,pypdf,False,fixed,dense,service,5,5,0.0,0.0,0.00019863992929458618,25171.172874235774,301
20260416_045857,manual,pypdf_fixed,pypdf,False,fixed,dense,service_field,5,5,0.0,0.0,0.0002568596974015236,19465.879819144964,301
20260416_045857,manual,pypdf_fixed,pypdf,False,fixed,sparse,none,5,5,0.0,0.0,0.00014932174235582352,33484.74188096025,301
20260416_045857,manual,pypdf_fixed,pypdf,False,fixed,sparse,service,5,5,0.0,0.0,0.00016895029693841934,29594.50258807446,301
20260416_045857,manual,pypdf_fixed,pypdf,False,fixed,sparse,service_field,5,5,0.0,0.0,0.00021404214203357697,23359.885826668873,301
20260416_045857,manual,pypdf_fixed,pypdf,False,fixed,hybrid,none,5,5,0.0,0.0,0.0001584179699420929,31562.0759553204,301
20260416_045857,manual,pypdf_fixed,pypdf,False,fixed,hybrid,service,5,5,0.0,0.0,0.00018386729061603546,27193.52628326563,301
20260416_045857,manual,pypdf_fixed,pypdf,False,fixed,hybrid,service_field,5,5,0.0,0.0,0.00024970434606075287,20023.680319859166,301
20260416_045857,auto,pypdf_fixed,pypdf,False,fixed,dense,none,120,5,0.0,0.0,0.001595967449247837,75189.50343038309,301
20260416_045857,auto,pypdf_fixed,pypdf,False,fixed,dense,service,120,5,0.0,0.0,0.0019983267411589622,60050.23979732365,301
20260416_045857,auto,pypdf_fixed,pypdf,False,fixed,dense,service_field,120,5,0.0,0.0,0.002494583837687969,48104.21609690955,301
20260416_045857,auto,pypdf_fixed,pypdf,False,fixed,sparse,none,120,5,0.0,0.0,0.0014233719557523727,84306.84580726465,301
20260416_045857,auto,pypdf_fixed,pypdf,False,fixed,sparse,service,120,5,0.0,0.0,0.0019973991438746452,60078.12728267149,301
20260416_045857,auto,pypdf_fixed,pypdf,False,fixed,sparse,service_field,120,5,0.0,0.0,0.0024613821879029274,48753.09514701526,301
20260416_045857,auto,pypdf_fixed,pypdf,False,fixed,hybrid,none,120,5,0.0,0.0,0.0015914617106318474,75402.37958496482,301
20260416_045857,auto,pypdf_fixed,pypdf,False,fixed,hybrid,service,120,5,0.0,0.0,0.0025509633123874664,47041.05285139952,301
20260416_045857,auto,pypdf_fixed,pypdf,False,fixed,hybrid,service_field,120,5,0.0,0.0,0.0031319092959165573,38315.28587256926,301
